y, x, f(x)
1.53035,0.425496,1.53035
1.53112,0.425996,1.53112
1.53189,0.426496,1.53189
1.53265,0.426996,1.53265
1.53342,0.427496,1.53342
1.53419,0.427996,1.53419
1.53495,0.428496,1.53495
1.53572,0.428996,1.53572
1.53649,0.429496,1.53649
1.53726,0.429996,1.53726
1.53803,0.430496,1.53803
1.53879,0.430996,1.53879
1.53956,0.431496,1.53956
1.54033,0.431996,1.54033
1.5411,0.432496,1.5411
1.54188,0.432996,1.54188
1.54265,0.433496,1.54265
1.54342,0.433996,1.54342
1.54419,0.434496,1.54419
1.54496,0.434996,1.54496
1.54573,0.435496,1.54573
1.54651,0.435996,1.54651
1.54728,0.436496,1.54728
1.54805,0.436996,1.54805
1.54883,0.437496,1.54883
1.5496,0.437996,1.5496
1.55038,0.438496,1.55038
1.55115,0.438996,1.55115
1.55193,0.439496,1.55193
1.55271,0.439996,1.55271
1.55348,0.440496,1.55348
1.55426,0.440996,1.55426
1.55504,0.441496,1.55504
1.55581,0.441996,1.55581
1.55659,0.442496,1.55659
1.55737,0.442996,1.55737
1.55815,0.443496,1.55815
1.55893,0.443996,1.55893
1.55971,0.444496,1.55971
1.56049,0.444996,1.56049
1.56127,0.445496,1.56127
1.56205,0.445996,1.56205
1.56283,0.446496,1.56283
1.56361,0.446996,1.56361
1.5644,0.447496,1.5644
1.56518,0.447996,1.56518
1.56596,0.448496,1.56596
1.56674,0.448996,1.56674
1.56753,0.449496,1.56753
1.56831,0.449996,1.56831
1.5691,0.450496,1.5691
1.56988,0.450996,1.56988
1.57067,0.451496,1.57067
1.57145,0.451996,1.57145
1.57224,0.452496,1.57224
1.57302,0.452996,1.57302
1.57381,0.453496,1.57381
1.5746,0.453996,1.5746
1.57538,0.454496,1.57538
1.57617,0.454996,1.57617
1.57696,0.455496,1.57696
1.57775,0.455996,1.57775
1.57854,0.456496,1.57854
1.57933,0.456996,1.57933
1.58012,0.457496,1.58012
1.58091,0.457996,1.58091
1.5817,0.458496,1.5817
1.58249,0.458996,1.58249
1.58328,0.459496,1.58328
1.58407,0.459996,1.58407
1.58486,0.460496,1.58486
1.58566,0.460996,1.58566
1.58645,0.461496,1.58645
1.58724,0.461996,1.58724
1.58804,0.462496,1.58804
1.58883,0.462996,1.58883
1.58963,0.463496,1.58963
1.59042,0.463996,1.59042
1.59122,0.464496,1.59122
1.59201,0.464996,1.59201
1.59281,0.465496,1.59281
1.59361,0.465996,1.59361
1.5944,0.466496,1.5944
1.5952,0.466996,1.5952
1.596,0.467496,1.596
1.5968,0.467996,1.5968
1.59759,0.468496,1.59759
